Year,Section,Topic,Question,Marks,Answers
2020,Section B,Partition of Bengal,(c) How successful was the 1905 Partition of Bengal? Explain your answer.,14,"Success of Partition in 1905
Bengal was the largest province in India, with a population of 84 million, 54 million of whom were Hindu. The province had become too large and complex for the British to efficiently govern. By dividing Bengal into two smaller provinces, the British were able to administer the region more effectively, with less administrative burden. Furthermore, the partition pleased the Muslim community. After the division, the Muslim population in East Bengal, where they were the majority, felt fully recognized and represented. Additionally, the separation of Bengal along religious lines ended the oppression that Muslims had been experiencing under Hindu rule, providing them with more autonomy.

Lack of Success of Partition in 1905
On the other hand, many Bengali Hindu groups strongly objected to the partition. They viewed it as part of a deliberate British ""divide and rule"" policy. The Hindus believed that the partition would weaken their unity and influence, especially in East Bengal, where they had been an influential community. As a result, numerous Hindu protests erupted, pressuring the British government to reconsider their decision. One of the most extreme responses to the partition was the attempted assassination of Lord Minto, which reflected the intensity of opposition. Additionally, the 'Swadeshi Movement' gained momentum as a form of resistance, with boycotts of British goods. This movement ultimately succeeded in its goal of challenging British authority and influence in the region.

Evaluation
In conclusion, while the partition initially succeeded in terms of British administrative efficiency and Muslim recognition in East Bengal, it was ultimately unsuccessful due to the strong opposition from the Hindu population, the resulting protests, and the Swadeshi Movement. The opposition showed that the division failed to address the underlying unity of the region, and the backlash played a significant role in the reversal of the decision. The partition of Bengal in 1905 is thus seen as a short-term success for the British but a long-term failure due to the unrest it caused."
2020,Section B,General History,4 (a) What was the ‘Day of Deliverance’?,4,"On 22 December 1939, Jinnah called on the Muslim community to celebrate the end of Congress rule. He appealed to all local and provincial district Muslim Leagues to hold public meetings to support this declaration. Jinnah asked that these gatherings be held calmly and with humility. In response, Congress objected to this celebration, seeing it as a direct challenge to their authority and the political status quo."
2020,Section B,Government of India Act 1935,(b) Explain why there was opposition to the Government of India Act of 1935.,7,"The Government of India Act of 1919 had several reasons behind its partial success and limitations. One reason it was considered exclusive and elitist was because only 25% of the population were eligible to vote, due to the property qualification. This severely limited the participation of the broader population, which created a sense of inequality. Another reason for criticism was that, although ministers in the provinces appeared to have control over departments, the real power still lay with the Provincial Governors. These governors could intervene in public order issues or veto bills they disliked, which meant that the Indian ministers had limited authority. Lastly, the British retained key decisions related to external relations and defense. This was a significant drawback for Indian groups who aspired to have greater control over their own affairs, as it highlighted the continuing dominance of British rule in critical areas."
2020,Section B,General History,(c) Assess the significance of the contributions of Allama Iqbal and Rahmat Ali to the Pakistan Movement. Explain your answer.,14,"Allama Iqbal and Rahmat Ali made significant contributions to the Pakistan Movement, although their approaches and impacts were somewhat different.

Allama Iqbal's contributions were profound in terms of intellectual influence and the awakening of Muslim consciousness. Through his poetry, Iqbal awakened a sense of nationhood among the Muslim community. He encouraged them to pursue a distinctive Islamic path that rejected the capitalist model, resonating deeply with many Muslims who sought a separate identity. Iqbal's opposition to British rule was pivotal, as he was the first prominent Muslim leader to advocate for the creation of a separate Muslim state. His famous Allahabad address in 1930 marked a critical turning point, as it presented the idea of an independent Muslim state for the first time, planting the seeds of what would eventually become Pakistan. His vision also influenced Muhammad Ali Jinnah, who later adopted many of Iqbal's ideas, leading the Muslim League and becoming the driving force behind Pakistan’s creation. Iqbal’s philosophical and intellectual contributions were vital in forming the ideological foundation for the Pakistan Movement.

On the other hand, Rahmat Ali's contributions, while important, were more directly political. In 1933, Rahmat Ali, along with other students, produced the influential pamphlet ""Now or Never,"" which argued for the partition of the subcontinent to create a Muslim homeland. His idea of a separate Muslim state, which he named ""Pakistan,"" resonated with many and became the rallying cry for later movements. Rahmat Ali’s formation of the Pakistan National Movement was another significant step, as it actively campaigned for the creation of Pakistan. His vision became more widely supported by the Muslim League by 1940, especially with their Lahore Resolution demanding a separate Muslim state. However, Rahmat Ali’s direct approach and criticisms of other leaders, such as Jinnah, made him unpopular among some Muslim factions. He criticized Jinnah for compromising on the interests of Muslim communities in areas like Delhi and Bengal, especially under the terms of partition in 1947.

Both Iqbal and Rahmat Ali played crucial roles in the conceptualization and eventual creation of Pakistan. However, Iqbal's influence was more philosophical and ideological, whereas Rahmat Ali's efforts were more focused on the practical and political aspects of establishing Pakistan. Iqbal's ideas laid the groundwork for the movement, while Rahmat Ali's activism helped to solidify the demand for a separate Muslim state."
2020,Section B,Jinnah's 14 Points,5 (a) Who was Fatima Jinnah?,4,"Fatima Jinnah was the sister of Muhammad Ali Jinnah, a dentist by profession who gave up her career to support him, especially after the death of his wife. In 1965, at the age of 71, she stood in the presidential election against Ayub Khan. Fatima Jinnah was very popular and, because of her immense contribution to the nation, she is remembered as Khatoon-i-Pakistan (First Lady of Pakistan) and Madar-i-Millat (Mother of the Nation)."
2020,Section B,Zulfiqar Ali Bhutto,(b) Explain why Benazir Bhutto’s government ended in 1996.,7,"Benazir Bhutto’s government faced significant challenges during her time in office. One of the reasons for its lack of success was the opposition’s efforts to undermine her government. The Pakistan Muslim League (PML) organized strikes, marches, and critical speeches, which reduced the efficiency of the government. In response, the PPP arrested senior PML leaders, which only served to escalate opposition and increase public dissent.

Additionally, Benazir Bhutto was criticized for not fulfilling her campaign promises, particularly the ""Agenda for Change,"" which had promised to improve social services and implement measures for women. The failure to bring about significant changes in these areas made her government unpopular and eroded public support, leading to dissatisfaction among the people.

Furthermore, despite efforts to sell off nationalized industries, her government struggled to address Pakistan’s pressing economic issues. This failure to overcome economic problems, particularly in the face of growing debt and inflation, diminished the credibility of the PPP government.

Lastly, the government lacked internal unity, as there were well-publicized family disputes over control of the PPP, further weakening its position and ability to govern effectively. These internal conflicts distracted from the government's agenda and contributed to its overall lack of success."
2020,Section B,General History,(c) Was the collapse of the Bank of Credit and Commerce International (BCCI) the main reason for the government ending in 1993? Explain your answer.,14,"The collapse of the BCCI bank in 1991 was a major factor in the government's downfall in 1993. The bank’s collapse led to investors losing large sums of money, which severely harmed Pakistan's financial system. This caused widespread public dissatisfaction and led to a loss of political support for the government, which was unable to manage the crisis effectively.

In addition to the BCCI collapse, there were other significant reasons for the government’s downfall. The end of the Soviet-Afghan war in the late 1980s resulted in the reduction of US aid that Pakistan had relied on during the conflict. This led to severe economic problems for the country, as the government struggled to manage the financial loss.

Furthermore, US aid was further restricted after the USA attempted to pressure Pakistan into abandoning its nuclear program. This external pressure not only hurt Pakistan’s economy but also created political tensions, diminishing the government’s credibility and support among the population.

Additionally, Pakistan’s involvement in supporting Afghan warlords during the Soviet-Afghan war had long-lasting effects. The proliferation of firearms, alongside the influx of refugees, led to an increase in crime, including kidnappings and murder. The resulting social instability further eroded the government's standing, especially in urban areas where these problems were most acute.

The government also lost public support due to the ‘Cooperative Societies scandal’. In Punjab, 700,000 people lost their savings when the state cooperative society went bankrupt, creating widespread anger and distrust toward the ruling party.

Lastly, the introduction of the Shariat Bill created divisions within the ruling alliance and among opposition groups. While some factions wanted Islam to play a greater role in government, others wanted a more secular approach. This internal division weakened the government and contributed to its inability to maintain power, as the debate over the role of Islam in governance became a point of contention.

In conclusion, while the collapse of the BCCI bank was a major trigger for the downfall of the government, it was the combination of economic crises, loss of US support, rising crime, and internal political divisions that ultimately led to the government's collapse in 1993."
2021,Section A,Kashmir Dispute,"(a) According to Source A, what were the reasons for India supporting Britain in the First World War?",3,"""In defence of an Empire,"" to fight ""a common enemy,"" ""India has always been loyal,"" India's ""future development in terms of prosperity,"" and India's recognition of ""our rights as citizens."""
2021,Section A,Kashmir Dispute,(b) What can we learn from Source B about the British presence in India at this time?,5,"There is a ceremony or coronation taking place, with many soldiers present. Some buildings can be seen, and the soldiers are standing to attention or on parade, organised into rows and holding guns. A crowd of civilians is gathered to watch the ceremony.

This scene suggests an important occasion or ceremony, likely a formal and organised event. It appears that Indian soldiers are showing loyalty to the monarchy, and it indicates that the British presence in India was powerful. The large crowd of Indian people seems eager to be part of the occasion.

Contextually, the King and Queen are the new Emperor and Empress of India, and the British maintained a significant army in India, with a large number of Indians serving in the British army. This was the first imperial coronation to take place on Indian soil."
2021,Section A,General History,(c) Explain the importance of the Lucknow Pact of 1916.,7,"A pact was made between the Muslim League and Congress, with both parties hoping that self-government was achievable. The Muslim League recognized the benefit of working with Congress, and for the first time, the two parties cooperated. However, this cooperation was short-lived, as they never worked together again. Despite their differences, Congress accepted the principle of separate electorates for the Muslim community."
2021,Section A,Kashmir Dispute,(d) To what extent had India benefited by the early 1920s from supporting Britain in the First Explain your answer.,10,"India benefitted by supporting the British in the First World War, particularly because, in 1917, it was promised a greater say in government. This was followed by the 1918 report that suggested India might eventually achieve self-government. Additionally, the Government of India Act 1919, which was introduced as a result of India’s support during the war, included provisions for separate electorates for various communities, giving them more political representation.

However, there were significant counter-arguments to the claim that India benefitted from supporting Britain. The Government of India Act 1919 still retained most of the political power in British hands, meaning that India did not achieve full self-rule. Moreover, not all minority groups were granted separate electorates, and some, like the Untouchables, were left out of this system of representation. Furthermore, the Rowlatt Act of 1919 imposed severe restrictions on the Indian population, allowing the British to arrest individuals without trial and curbing basic freedoms, leading to widespread discontent.

In conclusion, while India's support for the British during the First World War brought some political concessions, such as greater representation and the promise of eventual self-government, these reforms were limited and did not provide Indians with true autonomy. The continued British control, particularly highlighted by the Rowlatt Act, left many dissatisfied, undermining the argument that India truly benefitted from the war effort. Thus, India’s benefits from supporting Britain were mixed at best."
2021,Section B,General History,2 (a) Describe the achievements of Ranjit Singh.,4,"Ranjit Singh annexed Punjab, Kashmir, and most of Afghanistan. He was a key founder of Sikh rule in the Punjab, establishing a strong and influential empire in the region. In 1809, he signed a treaty with Britain in Sindh, solidifying a diplomatic relationship with the British. However, his expansion into Afghanistan raised concerns for Britain, as it increased the proximity of a powerful regional force near British interests in India, leading to heightened tensions."
2021,Section B,Jinnah's 14 Points,(b) Explain why Muhammad Ali Jinnah chose Urdu as the national language of Pakistan.,7,"Muhammad Ali Jinnah chose Urdu as the national language of Pakistan for several key reasons. First, Urdu was widely spoken and understood across different regions of Pakistan, making it a practical choice for communication and national unity. Jinnah believed that Urdu could serve as a unifying force, bridging the cultural and linguistic divides among the various ethnic groups in Pakistan.

Moreover, Urdu had strong associations with the Pakistan Movement, as it was the language used by many prominent leaders and activists advocating for the creation of Pakistan. This historical connection gave the language political and symbolic significance. Additionally, Urdu boasted a rich literary heritage, which added to its cultural value and prestige.

Finally, Urdu had important links to Islam, which further solidified its role in Pakistan, a country founded on the basis of Islam. The language’s connection to Islamic traditions, religious texts, and poetry made it especially meaningful in the context of Pakistan’s identity as an Islamic state. These factors combined to make Urdu the ideal choice as the national language, representing the unity, culture, and religious identity of the newly formed nation."
2021,Section B,General History,(c) ‘The work of Shah Waliullah was the main factor contributing to the spread of Islam between How far do you agree with this statement? Explain your answer.,14,"I agree to an extent that Shah Waliullah’s work played a significant role in the spread of Islam between 1700 and 1850, but there were other important factors contributing to this spread as well.

Shah Waliullah’s efforts were crucial in revitalizing Islam in the subcontinent. He aimed to stop the decline of Islam, which was facing internal divisions and external pressures during that period. He promoted Islamic values through his writings and education, which reached a broad audience. His translation of the Quran into Persian made the holy text more accessible to people who spoke Persian, broadening its reach and influence. Additionally, Shah Waliullah sought to unite different Muslim sects, which were divided at the time, under a common understanding of Islam. This unification was vital for strengthening the Muslim community and spreading Islamic teachings effectively.

However, there were other significant movements and leaders who also contributed to the spread of Islam during this period. The Jihad Movement, led by Syed Ahmad Barelvi, played an important role in uniting Muslims against non-Muslim rule and spreading Islamic influence in various regions of the subcontinent. Syed Ahmad Barelvi founded an army called the Mujahideen to fight for the faith, which helped to spread Islam in the North-Western regions. Moreover, the Faraizi Movement, led by Haji Shariatullah, sought to reform the practice of Islam by emphasizing the need to abandon non-Muslim practices. This movement also attracted many followers and contributed to the spread of Islam.

While Shah Waliullah’s intellectual contributions were foundational and had a long-lasting impact, it is clear that other religious leaders and movements played significant roles in the expansion and consolidation of Islam in the subcontinent between 1700 and 1850. Therefore, while Shah Waliullah’s work was undeniably important, it was not the sole factor in the spread of Islam during this period."
2021,Section B,General History,3 (a) Describe what happened at Allahabad in 1930.,4,"Allama Iqbal chaired a meeting of the Muslim League in Allahabad, where he delivered his famous presidential address. In this address, he called on all Muslims to work towards achieving a separate homeland. He argued that Islam united Muslims into one nation and that there could be no peace unless they were recognized as such. Furthermore, Iqbal proposed that certain areas, such as Punjab, NWFP, or Balochistan, should be amalgamated into a separate state. This address played a key role in shaping the vision for a separate Muslim homeland, which later became Pakistan.







"
2021,Section B,Sir Syed Ahmed Khan & Aligarh Movement,(b) Explain why the Muslim League was formed in 1906.,7,"The Muslim League was formed in 1906 primarily to unite the Muslim community in India. At the time, Hindu groups had their own political party, the Indian National Congress, which was gaining momentum in the struggle for Indian self-government. There was growing concern among Muslims that the increasing influence of these Hindu groups would lead to the dominance of the Hindu community, leaving Muslims marginalized. This fear was compounded by the fact that Hindu groups were advocating for their own language and cultural rights, which were perceived as potentially undermining the position of Muslims.

The success of the Muslim community during the Simla Deputation in 1906, where they secured promises from the British government regarding their political rights and representation, further reinforced the need for a united Muslim front. The formation of the Muslim League was seen as a response to these concerns, aiming to safeguard the political, cultural, and religious rights of Muslims in India. The League was established to provide Muslims with a platform to represent their interests, particularly in light of the growing influence of Hindu nationalist movements."
2021,Section B,War of Independence 1857,(c) To what extent were the outcomes of the War of Independence beneficial for India? Explain your answer.,14,"The outcomes of the War of Independence in 1857 were beneficial for India in some ways, but also had significant drawbacks. One of the major positive outcomes was the abolition of the Doctrine of Lapse, a policy that allowed the British East India Company to annex territories where the ruler had no male heir. This was a major grievance for Indian rulers, and its removal helped restore some degree of autonomy to native princely states. Additionally, the East India Company, which had long been in control of India, was dissolved after the rebellion, and India came under direct British rule, often referred to as the British Raj. This transition led to the implementation of various reforms, such as the introduction of irrigation schemes that benefitted Indian farmers, improving agricultural productivity. New farming methods were introduced, which were intended to increase crop yields, and the railway network was extended, helping to improve transportation and communication across the subcontinent.

However, the rebellion also had negative consequences that cannot be ignored. The British carried out harsh reprisals, including mass executions and the destruction of villages, which caused immense suffering to the Indian population. The Mughal Emperor, who had been a symbolic figurehead of Indian unity, was banished, ending the Mughal dynasty. The power of Indian princes was significantly reduced as they lost much of their influence and autonomy under British control. Furthermore, the rebellion disrupted trade and business, leading to economic instability and hardship for many people. The effects of this disruption were long-lasting, impacting India’s economy for years.

In conclusion, while the outcomes of the War of Independence led to some infrastructural and agricultural improvements, the harsh British reprisals, political changes, and economic disruptions resulted in negative consequences for India as well. Therefore, the benefits were mixed, and the overall impact of the rebellion on India was both positive and negative."
2021,Section B,General History,4 (a) Describe the terms of the Simla Agreement.,4,"The Simla Agreement was signed in July 1972 between Zulfikar Ali Bhutto, the Prime Minister of Pakistan, and Indira Gandhi, the Prime Minister of India. Under the terms of the agreement, India agreed to return prisoners of war who had been captured during the 1971 war. Both countries also pledged to engage in bilateral discussions on the Kashmir issue, without involving third-party organizations like the United Nations."
2021,Section B,Sir Syed Ahmed Khan & Aligarh Movement,(b) Explain why Congress and the Muslim League opposed the Cripps Mission of 1942.,7,"Congress and the Muslim League opposed the Cripps Mission of 1942 for several reasons. The Muslim League was dissatisfied with the plan because it did not include a clear reference to the establishment of Pakistan, which was a major demand at the time. On the other hand, Congress opposed the mission because they wanted immediate control over India rather than the gradual steps outlined in the Cripps proposals. Congress also doubted whether the British would actually deliver on the promises made in the plan, given their weak position due to World War II. Moreover, Congress aimed to exploit Britain’s vulnerable situation by demanding more immediate action."
2021,Section B,General History,(c) ‘Ayub Khan’s agricultural policies were the most effective of the domestic reforms that took How far do you agree with this statement? Explain your answer.,14,"Ayub Khan’s agricultural policies were among the most effective of the domestic reforms implemented between 1958 and 1969. His land redistribution policy, which aimed to give land to tenant farmers, was a significant step in addressing the imbalance of land ownership in rural areas. Additionally, by providing loans to farmers, he facilitated investment in modern agricultural practices, leading to an increase in farming productivity. The introduction of irrigation schemes and the mechanization of farming also played a crucial role in boosting agricultural output and ensuring more efficient use of resources. These reforms led to improved conditions for many farmers and a growth in agricultural production.

However, counter-arguments suggest that Ayub Khan’s agricultural policies were not the only effective domestic reforms during his rule. For instance, his industrial policies were also successful, with the establishment of an oil refinery in Karachi and the setting up of a Mineral Development Corporation. Economic growth was spurred by such developments, and the introduction of an export bonus scheme encouraged production for export. Moreover, Ayub Khan focused on broader aspects of development, including the construction of new houses, the introduction of new schools and a new curriculum, as well as the establishment of medical facilities. The creation of Islamabad as a new capital and the implementation of the Basic Democracy Scheme further contributed to his domestic agenda.

While Ayub Khan's agricultural reforms were undoubtedly impactful, the overall effectiveness of his domestic policies cannot be attributed solely to this sector, as other policies, particularly those related to industrial and infrastructural development, also played a key role in the nation's growth."
2021,Section B,General History,5 (a) Describe the main events of Muhammad Khan Junejo’s political career.,4,"Muhammad Khan Junejo's political career included several key events. Zia-ul-Haq chose him as Prime Minister in 1985, a position he held as part of efforts to consolidate power after the military regime. Junejo worked to develop the new Muslim League party during his tenure, strengthening his political base. In 1988, he called an all-Party Conference to discuss the Afghan situation, emphasizing Pakistan's role in regional politics. That same year, Junejo announced an inquiry into an explosion at the army's weapons dump, the Ojhri Camp, and promised justice for those affected. However, despite these efforts, he was dismissed from office by Zia-ul-Haq on 29 May 1988, marking the end of his tenure as Prime Minister."
2021,Section B,General History,(b) Explain why there were changes of government between 1951 and 1958.,7,"Between 1951 and 1958, Pakistan experienced changes of government due to several key factors. The deaths of Muhammad Ali Jinnah and Liaquat Ali Khan left a leadership vacuum, with the remaining politicians being inexperienced and struggling to guide the country effectively. In 1953, a severe drought caused food shortages, which exacerbated the hardships faced by the population. This led to widespread discontent, culminating in riots and social unrest. Additionally, in 1955, East Pakistan experienced severe floods, further causing food shortages and deepening regional frustrations. These challenges contributed to instability, making it difficult for the government to maintain control and ultimately leading to multiple changes in leadership during this period."
2021,Section B,Independence and Partition,(c) ‘Pakistan has had good relations with the United States since 1947.’ How far do you agree with this statement? Explain your answer.,14,"The statement that Pakistan has had good relations with the United States since 1947 is partially true, but it requires context to fully understand the complexities of the relationship.

On one hand, Pakistan has enjoyed positive relations with the USA at several points in history. For example, Pakistan signed the Mutual Defence Assistance Agreement with the United States in 1954, signaling the beginning of a strategic partnership. Additionally, Pakistan joined SEATO (Southeast Asia Treaty Organization) in 1955, which further cemented its ties with the United States during the Cold War. Under Ayub Khan, Pakistan allowed the USA to build air bases on its soil, and in the 1980s, the USA provided significant military aid packages, including $1.6 billion spread over five years in 1981 and $4.2 billion in 1986. Relations were further strengthened when the USA restored sales of aircraft to Pakistan in 1993, and key political figures like First Lady Hillary Clinton and Prime Minister Benazir Bhutto visited each other's countries in the mid-1990s. In 1996, the USA reimbursed Pakistan for F-16 payments and provided military equipment worth $388 million.

However, there were several periods of tension that affected the relationship. In 1962, the USA provided military assistance to India during its war with China, which caused Pakistan to turn toward China for support. Moreover, the USA imposed an arms embargo on both India and Pakistan in 1965, which was a setback for the bilateral relationship. During Zia-ul-Haq's rule, U.S. aid was suspended in 1977 and 1979 due to concerns over human rights and democracy. Furthermore, after the Afghan conflict in the 1980s, the USA blocked aid to Pakistan and refused to declare the country nuclear-free. In 1992, the USA imposed economic sanctions on Pakistan, and the relationship soured further after Pakistan conducted nuclear tests in 1998, which the USA strongly condemned.

In conclusion, while there have been periods of strong cooperation between Pakistan and the United States, there have also been significant strains due to issues such as military alliances, nuclear policies, and regional tensions. Therefore, while there have been moments of good relations, these have often been interrupted by periods of discord and disagreement."
2022,Section A,Sir Syed Ahmed Khan & Aligarh Movement,"(a) According to Source A, what examples of ‘enormous progress’ (line 1) had the Muslim League made?",3,It had become a strong institution. It would be capable of having a long-term influence. The League was a great success. The British were taking the Muslim League seriously and thought of them as a major power. Muslim India was now politically conscious and awake. The Muslim League would be a permanent feature of Indian politics.
2022,Section A,General History,(b) What can we learn from Source B about the tensions that existed over the future of the subcontinent?,5,"There were tensions between Muslims and Hindus, and neither community looked prepared to concede ground. Britain was under pressure and its efforts to intervene had been unsuccessful and damaging. It was a power struggle between two determined sides, and the British role as negotiator was weakening."
2022,Section A,General History,(c) Explain why the Cripps Mission had limited success in 1942.,7,Congress rejected it. The Muslim League opposed it. Britain was concentrating on the War. This combined rejection demonstrated the weakness of the proposals made.
2022,Section A,General History,(d) ‘Disagreement over the future role of central government in the subcontinent was the main statement? Explain your answer.,10,"Gandhi wanted central government to have control over defence and foreign policy. Jinnah thought such matters should be in the hands of local government and provinces. Gandhi felt that partition should not be discussed until after the British left India. Jinnah wanted partition before the British left as Congress were unlikely to agree to it once the British had gone. Gandhi considered himself to be speaking for all of India. Jinnah reminded him that, as a Hindu, Gandhi was only the spokesman of Congress. Gandhi and Jinnah disagreed over the Two-Nation Theory which had become official Muslim League policy."
2022,Section B,Mughal Empire,2 (a) Describe what happened at the battle of Balakot.,4,"It took place in 1831. Syed Ahmad Barelvi was killed along with Shah Ismail, his commander. Syed Ahmad had hoped to liberate Kashmir and Hazara. Balakot was thought to be safe as it was protected on three sides by mountains. Syed Ahmad was betrayed by local leaders who told the Sikhs a way through the mountains to Balakot. The Sikhs led by Ranjit Singh launched a surprise attack and outnumbered Syed Ahmad’s forces. Six hundred of Syed Ahmad’s forces were killed."
2022,Section B,General History,(b) Explain why Haji Shariatullah was an important figure in the revival of Islam during the eighteenth century.,7,He founded the Faraizi Movement. He felt that the Muslim community were treated badly by Hindu groups. He felt that the Muslim community were demoralised.
2022,Section B,War of Independence 1857,(c) To what extent were military factors the main cause of the War of Independence in 1857? Explain your answer.,14,"The British introduced a new cartridge, which was thought to be coated in grease made from pig and cow fat. The sepoys’ religious beliefs were offended as they had to handle the new cartridge. The sepoys started a revolt as they refused to handle the new cartridges. Most of the soldiers in the East India Company’s army were Indian but virtually all the officers were British which created discontent. The Indian soldiers and particularly the Hindu soldiers were unhappy at being sent to fight abroad in Afghanistan. Christianity was taught to Indian children. English became the language in which education was given. Indian people had to send their children to co-educational schools. Cultural traditions were abolished or ignored. High taxation was imposed by the British. The ‘Doctrine of Lapse’ was introduced in 1852. The East India Company banned the export of cotton goods from India in 1800. Poverty increased amongst Indian people."
2022,Section B,General History,3 (a) Describe the purpose of the Mohammedan Anglo-Oriental College.,4,"To replicate the pattern of the English public school and university system. To form the basis of a Muslim university. To offer western, Islamic and Indian education and modern scientific developments. To offer the Muslim community an education comparable to that of Hindus. To give Muslims the opportunities in society and employment to improve their relations with the British. To become a symbol of Muslim unity. To educate future leaders of Pakistan such as Liaquat Ali Khan and Muhammad Ayub Khan."
2022,Section B,Jinnah's 14 Points,(b) Explain why Muhammad Ali Jinnah produced his 14 Points in 1929.,7,As a counter to the Nehru Report. Jinnah’s proposed changes to the Nehru Report were rejected. The Muslim community wanted a separate homeland. Jinnah’s 14 Points aimed to benefit the Muslim community. To unite Muslim groups behind Jinnah’s leadership and philosophy.
2022,Section B,Sir Syed Ahmed Khan & Aligarh Movement,(c) To what extent was the need for a political party to represent the Muslim community the main,14,The Muslim community could not rely on Congress to further their interests such as education and economic well-being. To take advantage of the support given by the British Liberal government to the Muslim community. To promote the political rights and identity of the Muslim community. The Simla Deputation achieved the promise of separate electorates propelling the Muslim community towards the formation of the All-India Muslim League. The promise of other political reforms created a window of Muslim opportunity to establish its own political party. The partition of Bengal was a problem for Congress. There had been a growth in Hindu activism. The Hindi-Urdu controversy and the Two-Nation Theory were other reasons.
2022,Section B,General History,4 (a) Describe the terms of the Rowlatt Act.,4,People could be tried in private by three High Court Judges. There was no right of appeal. People could be ordered where to live. People were stopped from holding meetings. Detention without bail. People could be arrested without warrant and kept in prison without trial. It was enacted in 1919.
2022,Section B,General History,(b) Explain why Pakistan becoming a nuclear power was significant.,7,"It was a response to India developing nuclear weapons. Recognition of the military threat posed by India. Political will to modernise Pakistan, encourage industrial development and develop nuclear energy. To project Pakistan on the world stage. It enhanced national pride. It affected Pakistan’s relationship with the USA with a subsequent impact on the economy. It encouraged co-operation between Pakistan and India in the 1990s over the nuclear threat. Some people feared it may make the region or world less stable."
2022,Section B,Zulfiqar Ali Bhutto,(c) Assess the effectiveness of the domestic policies introduced by Zulfikar Ali Bhutto between 1971 and 1977. Explain your answer.,14,"The new constitution in 1973 safeguarded minority interests. Health policy aimed to improve infant mortality and life expectancy rates. Education policy introduced free primary education for all children. Profits from nationalised companies were used to improve public services such as hospitals and schools. Industrial reform led to inflation falling from 25 percent in 1972 to 6 percent in 1976. Introduction of security of tenure for agricultural tenants and a ceiling on land ownership. However, the new constitution placed all political power with Zulfikar Ali Bhutto. The reform of the armed forces was opposed. Health policy inadvertently led to chemists’ profits falling. Education reforms led to overcrowding in schools. Many of these policies would take decades to become fully effective. The newly nationalised industries became overly bureaucratic. Landowners were often able to circumvent the land reforms."
2022,Section B,Objective Resolution 1949,5 (a) Describe the provisions of the 1956 Constitution.,4,"It gave the title Islamic Republic of Pakistan. The President had to be 40, could choose the Prime Minister, declare a state of emergency and select the judges in the Supreme Court. It appointed a President who had to be a Muslim, from the National Assembly, over 40, had emergency powers and could dissolve the National Assembly. There was a cabinet which was advisory only and a National and Provincial Assembly."
2022,Section B,General History,(b) Explain the circumstances that brought General Pervez Musharraf into power in 1999.,7,"The government was severely weakened by economic, social and political problems. Nawaz Sharif lost the support of the army because of his treatment of Jehangir Karamat. The government lost the support of the army because of events in Kashmir. On General Pervez Musharraf’s return from a visit to Sri Lanka he announced that the army was taking control of the government of Pakistan."
2022,Section B,Fall of Dhaka 1971,(c) ‘Pakistan has built good relations with Bangladesh since 1971.’ How far do you agree with this statement? Explain your answer.,14,"Pakistan officially recognised Bangladesh in 1974. Zulfikar Ali Bhutto visited Bangladesh in 1974. Cooperation on trade, tourism and the media were negotiated. The two countries exchanged ambassadors. Trade between the two countries increased in the 1980s. Pakistan provided humanitarian aid to Bangladesh on several occasions in response to natural disasters. Strong ties exist between the two countries as fellow Muslim nations. However, relations were strained in 1971, but improved over time. There were resettlement issues in 1971 over the return of people in each country. There was a problem of reallocating assets. Continuing resettlement issues of the non-Bengali population in Bangladesh. Pakistan withdrew from the Commonwealth in 1972 in protest at British recognition of Bangladesh."
2023,Section A,General History,"(a) According to Source A, Mir Jafar was unpopular as Nawab of Bengal. Identify three ways he was unpopular.",3,Mir Jafar allowed the British to take important lands around Calcutta. He made regular payments of huge sums of money to the British. Mir Jafar's actions allowed the British to strengthen their trading position. He almost brought about Bengal's economic collapse. Mir Jafar was accused of betraying his country and his people. Mir Jafar made an agreement with the British. His relationship with the British made him unpopular.
2023,Section A,General History,(b) What can we learn from Source B about the death of Tipu Sultan?,5,"It was a sad incident. It was a serious and significant incident. Tipu Sultan and his body were respected. It was an unexpected event. It was a brutal death. It was a brave soldier’s death. Tipu Sultan is resting on the knee of a soldier. He is surrounded by soldiers. The soldiers are carrying weapons, rifles with bayonets, and swords. A soldier is carrying a torch. They are by a stone building or wall. There are different uniforms. There is a second body in the picture. Someone not a soldier is present, clasping his hands. One of the soldiers is holding Tipu Sultan's hand. The soldiers looked shocked and surprised. The death occurred in Fort Seringapatam. Tipu Sultan died on 4 May 1799. Tipu Sultan was a revered leader, known as a freedom fighter and the Tiger of Mysore. With Tipu's death, Mysore came under British control."
2023,Section A,Sir Syed Ahmed Khan & Aligarh Movement,(c) ExplainhowTituMirprotectedtheinterestsofMuslimfarmersinthesubcontinentintheearly nineteenth century.,7,Titu Mir advocated jihad against non-Islamic actions. Titu Mir raised awareness of the sufferings of Muslim farmers in West Bengal during the 1830s. Titu Mir gave Muslim farmers a cause to fight back at the sufferings they encountered. Titu Mir organised a rebellion against zamindars. Titu Mir advised Muslim farmers to not pay the tax on beards. Titu Mir set up his own fort or commune near Calcutta with a small army.
